Genre,artistId, collectionId,trackId,artistName, collectionName, trackName
KPOP,883131348,1284477237,1284478575,BTS,Love Yourself 承 'Her',MIC Drop
KPOP,554290495,560398387,560398388,PSY,Gangnam Style - Single,Gangnam Style
KPOP,318754656,506304522,506304725,BIGBANG,Alive,Fantastic Baby
KPOP,657630070,854908236,854908245,EXO,The 1st Album 'XOXO' (Repackage),Growl
KPOP,329155759,950442421,950442426,2NE1,I Am the Best - Single,I Am the Best
Pop,991444375,1050273327,1050273336,Alessia Cara,Know-It-All,Seventeen
Pop,334854763,1253656856,1253656864,Kesha,Rainbow,Learn To Let Go
Pop,395772279,1068319220,1068319519,Andy Grammer,Now That's What I Call a Workout 2016,"Honey, I'm Good."
Pop,935727853,1266716082,1266716155,Camila Cabello,Havana (feat. Young Thug) - Single,Havana (feat. Young Thug)
Pop,74925187,1259989841,1259989843,Hedley,Cageless,Better Days
Rock,5040714,574043989,574044008,AC/DC,Highway to Hell,Highway to Hell
Rock,358714030,1233502263,1233502266,Imagine Dragons,Evolve,Whatever It Takes
Rock,6906197,1249068417,1249068906,Foo Fighters,Concrete and Gold,The Sky Is a Neighborhood
Rock,889780,1109250450,1109251513,Red Hot Chili Peppers,The Getaway,Sick Love
Rock,124943892,1040618675,1040618676,Marianas Trench,Astoria,Astoria
JPOP,218171255,547734351,547734355,GReeeeN,A Domo Hajimemashite,High G.K Low  Hajikero
JPOP,860461540,1304274557,1304274560,WagakkiBand,Kiseki Best Collection+,Senbonzakura
JPOP,93093570,1213638079,1213638082,MONKEY MAJIK,Is This Love? - Single,Is This Love?
JPOP,76063095,984338594,984338653,MIYAVI,The Others,The Others
JPOP,477101776,984334432,984334442,BABYMETAL,BabyMetal,Megitsune
Jazz,72783,92530,92528,Diana Krall,Live In Paris,Just the Way You Are
Jazz,157941,531823639,531823733,Brian Culbertson,Dreams,You're My Music (feat. Noel Gourdin)
Jazz,275971254,558273106,558273172,Brad Mehldau Trio & Brad Mehldau,Where Do You Start?,Where Do You Start?
Jazz,152987454,1292525326,1292525337,Snarky Puppy,Family Dinner Vol. 1,Something (feat. Lalah Hathaway)
Jazz,68319161,304220532,304220541,Electro Deluxe,Hopeful,Staying Alive
EDM,301510573,794678913,79467900,Gramatik,The Age of Reason,Get a Grip (feat. Gibbz)
EDM,352711990,1143339499,1143339502,Audien,Crazy Love (feat. Deb’s Daughter) - Single,Crazy Love (feat. Deb’s Daughter)
EDM,214891583,1099908092,1099908241,Mike Perry,The Ocean (feat. Shy Martin) - Single,The Ocean (feat. Shy Martin)
EDM,4527097,1306515320,1306515338,Diplo,Get It Right (feat. MØ) - Singl,Get It Right (feat. MØ)
EDM,5557599,1244284858,1244285191,David Guetta,2U (feat. Justin Bieber) - Single,2U (feat. Justin Bieber)
Hip Hop,302533564,686222727,686223173,Big Sean,Hall of Fame (Deluxe),Beware (feat. Lil Wayne & Jhene Aiko)
Hip Hop,66490,290579893,290579900,Kardinal Offishall,Not 4 Sale,Dangerous
Hip Hop,278464538,403927867,403927937,Nicki Minaj,Pink Friday (Deluxe Version),Super Bass
Hip Hop,631440154,1164273871,1164273878,Denzel Curry,Ultimate - Single,Ultimate
Hip Hop,966309175,1281165478,1281165480,Post Malone,rockstar (feat. 21 Savage) - Single,rockstar (feat. 21 Savage)
Religious,412765968,905080659,905080682,The Walls Group,Fast Forward,Perfect People
Religious,1157021314,1186419264,1186419277,Zach Williams,Chain Breaker,Old Church Choir
Religious,194014763,1214137339,1214137526,Ryan Stevenson,The Gospel - Single,The Gospel
Religious,569510,1155323667,1155323679,Chris Tomlin,Never Lose Sight (Deluxe Edition),Home
Religious,641384132,1138405226,1138405236,Love & The Outcome,These Are the Days,The God I Know
R&B,14867,1014751426,1014751701,Jill Scott,Woman,You Don't Know
R&B,48397,2872246,2872181,Lionel Richie,20th Century Masters - The Millennium Collection: The Best of Lionel Richie,Hello
R&B,95705522,281338838,281338845,Chris Brown,Exclusive (The Forever Edition),With You
R&B,15885,386153476,386153478,Usher,Confessions,Yeah!
R&B,87447,348575,348557,Brian McKnight,Brian McKnight,One Last Cry
Alternative,271356617,986147154,986147190,Walk Off the Earth,Sing It All Away,Hold On (The Break)
Alternative,464015144,643870306,643870633,MS MR,Secondhand Rapture,Fantasy
Alternative,1204484734,1267281061,1267281064,Pale Waves,Television Romance - Single,Television Romance
Alternative,429572916,1303663466,1303664588,Kimbra,Primal Heart,Top of the World
Alternative,281070699,1069506524,1069506914,Florence + The Machine,Now That's What I Call Rock,Ship to Wreck
